횟수,국가,출전연도
20회,독일,"1934, 1938, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
18회,이탈리아,"1934, 1938, 1950, 1954, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014"
16회,프랑스,"1930, 1934, 1938, 1954, 1958, 1966, 1978, 1982, 1986, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
16회,스페인,"1934, 1950, 1962, 1966, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
16회,잉글랜드,"1950, 1958, 1954, 1962, 1966, 1970, 1982, 1986, 1990, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
14회,벨기에,"1930, 1934, 1938, 1954, 1970, 1982, 1986, 1990, 1994, 1998, 2002, 2014, 2018, 2022"
13회,세르비아,"1930, 1950, 1954, 1958, 1962, 1974, 1982, 1990, 1998, 2006, 2010, 2018, 2022"
12회,스웨덴,"1934, 1938, 1950, 1958, 1970, 1974, 1978, 1990, 1994, 2002, 2006, 2018"
12회,스위스,"1934, 1938, 1950, 1954, 1962, 1966, 1994, 2006, 2010, 2014, 2018, 2022"
11회,러시아,"1958, 1962, 1966, 1970, 1982, 1986, 1990, 1994, 2002, 2014, 2018"
11회,네덜란드,"1934, 1938, 1974, 1978, 1990, 1994, 1998, 2006, 2010, 2014, 2022"
10회,헝가리,"1934, 1938, 1954, 1958, 1962, 1966, 1974, 1978, 1982, 1986"
9회,체코,"1934, 1938, 1954, 1958, 1962, 1970, 1982, 1990, 2006"
8회,스코틀랜드,"1954, 1958, 1974, 1978, 1982, 1986, 1990, 1998"
8회,폴란드,"1938, 1974, 1978, 1982, 1986, 2002, 2006, 2018"
7회,루마니아,"1930, 1934, 1938, 1970, 1990, 1994, 1998"
7회,오스트리아,"1934, 1954, 1958, 1978, 1982, 1990, 1998"
7회,불가리아,"1962, 1966, 1970, 1974, 1986, 1994, 1998"
7회,포르투갈,"1966, 1986, 2002, 2006, 2010, 2014, 2018"
6회,덴마크,"1986, 1998, 2002, 2010, 2018, 2022"
6회,크로아티아,"1998, 2002, 2006, 2014, 2018, 2022"
3회,노르웨이,"1938, 1994, 1998"
3회,북아일랜드,"1958, 1982, 1986"
3회,아일랜드,"1990, 1994, 2002"
3회,그리스,"1994, 2010, 2014"
2회,터키,"1954, 2002"
2회,슬로베니아,"2002, 2010"
1회,웨일스,1958
1회,이스라엘,1970
1회,동독,1974
1회,우크라이나,2006
1회,슬로바키아,2010
1회,보스니아 헤르체고비나,2014
1회,아이슬란드,2018
