순위,국가,금메달,은메달,동메달,합계
1, 노르웨이 (NOR),14,14,11,39
2, 독일 (GER),14,10,7,31
3, 캐나다 (CAN),11,8,10,29
4, 미국 (USA),9,8,6,23
5, 네덜란드 (NED),8,6,6,20
6, 스웨덴 (SWE),7,6,1,14
7, 대한민국 (KOR),5,8,4,17
8, 스위스 (SUI),5,6,4,15
9, 프랑스 (FRA),5,4,6,15
10, 오스트리아 (AUT),5,3,6,14
11, 일본 (JPN),4,5,4,13
12, 이탈리아 (ITA),3,2,5,10
13, 러시아 출신 올림픽 선수 (OAR),2,6,9,17
14, 체코 (CZE),2,2,3,7
15, 벨라루스 (BLR),2,1,0,3
16, 중화인민공화국 (CHN),1,6,2,9
17, 슬로바키아 (SVK),1,2,0,3
18, 핀란드 (FIN),1,1,4,6
19, 영국 (GBR),1,0,4,5
20, 폴란드 (POL),1,0,1,2
21, 헝가리 (HUN),1,0,0,1
21, 우크라이나 (UKR),1,0,0,1
23, 오스트레일리아 (AUS),0,2,1,3
24, 슬로베니아 (SLO),0,1,1,2
25, 벨기에 (BEL),0,1,0,1
26, 스페인 (ESP),0,0,2,2
26, 뉴질랜드 (NZL),0,0,2,2
28, 카자흐스탄 (KAZ),0,0,1,1
28, 라트비아 (LAT),0,0,1,1
28, 리히텐슈타인 (LIE),0,0,1,1
