,순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
0,1,프랑스,7,6,1,0,14,6,8,19,우승
1,2,크로아티아,7,4,2,1,14,9,5,14,준우승
2,3,벨기에,7,6,0,1,16,6,10,18,3위
3,4,잉글랜드,7,3,1,3,12,8,4,10,4위
4,5,우루과이,5,4,0,1,7,3,4,12,8강
5,6,브라질,5,3,1,1,8,3,5,10,8강
6,7,스웨덴,5,3,0,2,6,4,2,9,8강
7,8,러시아,5,2,2,1,11,7,4,8,8강
8,9,콜롬비아,4,2,1,1,6,3,3,7,16강
9,10,스페인,4,1,3,0,7,6,1,6,16강
10,11,덴마크,4,1,3,0,3,2,1,6,16강
11,12,멕시코,4,2,0,2,3,6,-3,6,16강
12,13,포르투갈,4,1,2,1,6,6,0,5,16강
13,14,스위스,4,1,2,1,5,5,0,5,16강
14,15,일본,4,1,1,2,6,7,-1,4,16강
15,16,아르헨티나,4,1,1,2,6,9,-3,4,16강
16,17,세네갈,3,1,1,1,4,4,0,4,조별리그
17,18,이란,3,1,1,1,2,2,0,4,조별리그
18,19,대한민국,3,1,0,2,3,3,0,3,조별리그
19,20,페루,3,1,0,2,2,2,0,3,조별리그
20,21,나이지리아,3,1,0,2,3,4,-1,3,조별리그
21,22,독일,3,1,0,2,2,4,-2,3,조별리그
22,23,세르비아,3,1,0,2,2,4,-2,3,조별리그
23,24,튀니지,3,1,0,2,5,8,-3,3,조별리그
24,25,폴란드,3,1,0,2,2,5,-3,3,조별리그
25,26,사우디아라비아,3,1,0,2,2,7,-5,3,조별리그
26,27,모로코,3,0,1,2,2,4,-2,1,조별리그
27,28,아이슬란드,3,0,1,2,2,5,-3,1,조별리그
28,29,코스타리카,3,0,1,2,2,5,-3,1,조별리그
29,30,호주,3,0,1,2,2,5,-3,1,조별리그
30,31,이집트,3,0,0,3,2,6,-4,0,조별리그
31,32,파나마,3,0,0,3,2,11,-9,0,조별리그
